"Data generated on Tuesday, December 06, 2016 at 11:20:23 AM EST",,,,,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January - December,,,,,,,,,,,,
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,
,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,
122,Pakistan,1,Coffee & Coffee Pdts,0,0,0,4,0,0,0,0,0,0,,US,PK,0815AT
123,Qatar,1,Coffee & Coffee Pdts,0,0,66,0,0,0,0,0,0,0,,US,QA,0815AT
124,Serbia and Kosovo,1,Coffee & Coffee Pdts,0,0,98,160,0,0,0,0,0,0,,US,RB,0815AT
125,Slovenia,1,Coffee & Coffee Pdts,22,39,17,14,34,6,9,11,10,4,,US,SI,0815AT
126,Sierra Leone,1,Coffee & Coffee Pdts,141,0,0,0,0,0,0,0,0,0,,US,SL,0815AT
127,Togo,1,Coffee & Coffee Pdts,0,35,0,0,108,0,"2,033",0,0,0,,US,TO,0815AT
128,Burkina Faso,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,118,0,,US,UV,0815AT
129,Venezuela,1,Coffee & Coffee Pdts,25,298,"3,388","15,269",654,728,9,84,496,0,,US,VE,0815AT
130,Namibia,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,0,70,,US,WA,0815AT
131,Western Sahara,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,97,0,0,,US,WI,0815AT
132,"Serbia, Montenegro, and Kosovo",1,Coffee & Coffee Pdts,211,181,0,0,0,0,0,0,0,0,,US,YU,0815AT
133,French Pacific Islands(*),1,Coffee & Coffee Pdts,67,0,0,0,0,0,0,0,0,0,,US,Z1,0815AT
,Grand Total,,,"2,975,663","3,313,105","3,768,282","4,412,186","4,069,757","4,942,849","8,097,161","7,018,913","5,808,989","6,331,721",-5,,,
Notes:,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,
2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items.,,,,,,,,,,,,,,,,,
3. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.,,,,,,,,,,,,,,,,,
4. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,
5. Product Group : FAS,,,,,,,,,,,,,,,,,
